"","country","population","year","Co2 Rate","co2","cement_co2","coal_co2","flaring_co2","gas_co2","oil_co2","co2_normalised"
"200","Switzerland",8514431,2018,4.331,36.874,1.738,0.479,0.028,6.685,27.77,4.33076502704643e-06
"201","Syria",19333464,2018,1.564,30.23,0.751,0.004,1.339,6.826,21.31,1.56361012180745e-06
"202","Taiwan",23726186,2018,11.921,282.843,5.378,158.807,0.058,48.583,68.993,1.19211322038865e-05
"203","Tajikistan",9128131,2018,0.998,9.108,1.879,4.19,0,0.11,2.93,9.97794619731027e-07
"204","Tanzania",58090444,2018,0.203,11.787,1.747,1.667,0,1.425,6.948,2.02907727818365e-07
"205","Thailand",71127808,2018,3.966,282.105,22.466,60.589,0.613,81.269,117.169,3.96617030571222e-06
"206","Togo",8046680,2018,0.274,2.208,0.786,0,0,0.088,1.334,2.74398882520493e-07
"207","Tonga",105167,2018,1.289,0.136,0,0,0,0,0.136,1.29318132113686e-06
"208","Trinidad and Tobago",1504707,2018,26.801,40.328,0.257,0,0.364,35.775,3.931,2.68012310702349e-05
"209","Tunisia",11933040,2018,2.514,29.997,3.125,0,0.549,12.582,13.74,2.51377687496229e-06
"210","Turkey",82809304,2018,5.103,422.569,39.413,163.039,0.174,95.482,117.667,5.10291693793248e-06
"211","Turkmenistan",6065072,2018,12.078,73.252,1.45,0,2.801,48.859,20.141,1.20776801990149e-05
"212","Turks and Caicos Islands",41516,2018,8.737,0.363,0,0,0,0,0.363,8.7436169187783e-06
"213","Tuvalu",10883,2018,0.673,0.007,0,0,0,0,0.007,6.43204998621704e-07
"214","Uganda",41515400,2018,0.136,5.631,0.329,0,0,0,5.302,1.35636414438979e-07
"215","Ukraine",44446952,2018,5.212,231.675,3.719,120.544,2.399,66.992,35.215,5.21239341676343e-06
"216","United Arab Emirates",9140172,2018,22.999,210.218,5.693,7.282,1.634,133.566,62.044,2.29993483711247e-05
"217","United Kingdom",66432996,2018,5.716,379.73,4.364,33.28,4.476,161.485,173.087,5.71598486992819e-06
"218","United States",332140032,2018,16.188,5376.657,38.971,1256.202,72.787,1618.72,2365.283,1.61879222074622e-05
"219","Upper-middle-income countries",2516785800,2018,6.336,15951.008,973.627,8800.365,168.491,2345.54,3455.51,6.33784885467806e-06
"220","Uruguay",3427044,2018,1.917,6.571,0.32,0.004,0,0.114,6.134,1.9173958665252e-06
"221","Uzbekistan",32449578,2018,3.589,116.464,3.776,9.658,1.486,89.849,11.695,3.58907595038678e-06
"222","Vanuatu",297307,2018,0.592,0.176,0,0,0,0,0.176,5.91980679903265e-07
"223","Venezuela",29825652,2018,3.442,102.672,2.011,0.125,15.594,41.704,43.239,3.44240588604735e-06
"224","Vietnam",94914328,2018,2.889,274.223,49.637,134.854,1.415,18.554,69.763,2.88916337267857e-06
"225","Wallis and Futuna",11840,2018,2.166,0.026,0,0,0,0,0.026,2.19594594594595e-06
"226","World",7683789824,2018,4.793,36826.508,1569.218,14746.831,412.116,7529.847,12266.017,4.79275316523806e-06
"227","Yemen",30790514,2018,0.34,10.474,0.657,0.311,0.929,0.198,8.38,3.40169702915645e-07
"228","Zambia",17835898,2018,0.416,7.412,1.066,2.744,0,0,3.602,4.15566404338038e-07
"229","Zimbabwe",15052191,2018,0.784,11.795,0.558,7.178,0,0,4.06,7.83606851653689e-07
